Course_Name,Course_Number,Section,Instructor,Faculty_Email,TA,Senior_Grader,Grader,Professor Pre-Reqs
pens\is,1111,20202,yuvi,yuvi@tamu.edu,1.0,,,N/A
CSCE 607,606,500,Dr. Richey,rrrr@tamu.edu,,,,N/A
CSCE 607,606,500,Dr. Richey,rrrr@tamu.edu,,,,N/A
CSCE 607,606,500,Dr. Richey,rrrr@tamu.edu,,,,N/A
CSCE 607,606,500,Dr. Richey,rrrr@tamu.edu,,,,N/A
CSCE 607,606,500,Dr. Richey,rrrr@tamu.edu,,,,N/A
CSCE 607,606,500,Dr. Richey,rrrr@tamu.edu,,,,N/A
CSCE 607,606,500,Dr. Richey,rrrr@tamu.edu,,,,N/A
CSCE 607,606,500,Dr. Richey,rrrr@tamu.edu,,,,N/A
CSCE 607,606,500,Dr. Richey,rrrr@tamu.edu,,,,N/A
CSCE 607,606,500,Dr. Richey,rrrr@tamu.edu,,,,N/A
CSCE 607,606,500,Dr. Richey,rrrr@tamu.edu,,,,N/A
CSCE 607,606,500,Dr. Richey,rrrr@tamu.edu,,,,N/A
CSCE 607,606,500,Dr. Richey,rrrr@tamu.edu,,,,N/A
CSCE 607,606,500,Dr. Richey,rrrr@tamu.edu,,,,N/A
CSCE 607,606,500,Dr. Richey,rrrr@tamu.edu,,,,N/A
